Date,Close,High,Low,Open,Volume,Ticker,Industry
2024-02-27,113.37000274658203,114.2249984741211,113.2249984741211,114.02999877929688,786200,GDDY,Information Technology
2024-02-28,113.01000213623047,113.70999908447266,112.70999908447266,113.3499984741211,980600,GDDY,Information Technology
2024-02-29,114.1500015258789,116.30999755859375,112.29000091552734,113.87999725341797,2838200,GDDY,Information Technology
2024-03-01,113.72000122070312,115.19000244140625,113.18000030517578,114.11000061035156,1076500,GDDY,Information Technology
2024-03-04,111.26000213623047,113.5,108.51000213623047,113.30999755859375,2092100,GDDY,Information Technology
2024-03-05,108.95999908447266,110.62000274658203,108.37999725341797,109.56999969482422,2076600,GDDY,Information Technology
2024-03-06,109.56999969482422,114.66000366210938,109.16000366210938,110.54000091552734,2412000,GDDY,Information Technology
2024-03-07,113.81999969482422,114.5,110.58999633789062,110.91999816894531,2380700,GDDY,Information Technology
2024-03-08,113.47000122070312,114.77999877929688,112.48999786376953,113.81999969482422,1442200,GDDY,Information Technology
2024-03-11,114.58000183105469,114.89299774169922,113.01000213623047,113.0999984741211,1102200,GDDY,Information Technology
2024-03-12,117.54000091552734,118.30000305175781,115.11000061035156,115.11000061035156,1692500,GDDY,Information Technology
2024-03-13,117.70999908447266,118.38999938964844,116.27999877929688,117.56999969482422,1025700,GDDY,Information Technology
2024-03-14,117.13999938964844,118.13999938964844,116.31999969482422,117.94000244140625,905400,GDDY,Information Technology
2024-03-15,117.19000244140625,118.1500015258789,115.19200134277344,116.44000244140625,2206700,GDDY,Information Technology
2024-03-18,119.41999816894531,119.75,117.33000183105469,117.33000183105469,1392900,GDDY,Information Technology
2024-03-19,119.19000244140625,119.39099884033203,118.13999938964844,119.06999969482422,1186700,GDDY,Information Technology
2024-03-20,119.1500015258789,119.54000091552734,118.48999786376953,119.33000183105469,911500,GDDY,Information Technology
2024-03-21,120.36000061035156,121.56999969482422,119.26000213623047,119.88999938964844,928900,GDDY,Information Technology
2024-03-22,121.62000274658203,121.7699966430664,120.4000015258789,120.47000122070312,1060000,GDDY,Information Technology
2024-03-25,120.93000030517578,122.6520004272461,120.61000061035156,121.45999908447266,1014100,GDDY,Information Technology
2024-03-26,120.94000244140625,121.68000030517578,120.23999786376953,120.87999725341797,707400,GDDY,Information Technology
2024-03-27,122.08000183105469,122.83000183105469,120.93000030517578,122.41999816894531,809200,GDDY,Information Technology
2024-03-28,118.68000030517578,122.2750015258789,118.63999938964844,122.2300033569336,1973500,GDDY,Information Technology
2024-04-01,121.11000061035156,121.22000122070312,118.38999938964844,118.38999938964844,1060400,GDDY,Information Technology
2024-04-02,122.2300033569336,122.4020004272461,120.0,121.58999633789062,1418100,GDDY,Information Technology
2024-04-03,123.91000366210938,123.91999816894531,121.66000366210938,122.08000183105469,1277300,GDDY,Information Technology
2024-04-04,123.93000030517578,125.55000305175781,123.25,123.5999984741211,1747800,GDDY,Information Technology
2024-04-05,125.94000244140625,126.12999725341797,123.70999908447266,124.0,1369700,GDDY,Information Technology
2024-04-08,126.80000305175781,127.1500015258789,125.20999908447266,125.83999633789062,1355500,GDDY,Information Technology
2024-04-09,125.9000015258789,126.80000305175781,124.20999908447266,126.80000305175781,1414700,GDDY,Information Technology
2024-04-10,125.20999908447266,126.76499938964844,124.12000274658203,124.79000091552734,986000,GDDY,Information Technology
2024-04-11,126.61000061035156,126.9800033569336,125.05000305175781,125.77999877929688,844400,GDDY,Information Technology
2024-04-12,123.30000305175781,126.19499969482422,123.04000091552734,125.43000030517578,1349200,GDDY,Information Technology
2024-04-15,121.41999816894531,125.02999877929688,121.16000366210938,124.04000091552734,1038300,GDDY,Information Technology
2024-04-16,123.25,124.25,121.62200164794922,121.66999816894531,1085800,GDDY,Information Technology
2024-04-17,122.36000061035156,124.58000183105469,122.22000122070312,123.83000183105469,1089800,GDDY,Information Technology
2024-04-18,121.3499984741211,123.80000305175781,121.18000030517578,122.11000061035156,1153700,GDDY,Information Technology
2024-04-19,120.12000274658203,122.5999984741211,119.76000213623047,121.52999877929688,1126500,GDDY,Information Technology
2024-04-22,121.41000366210938,122.44000244140625,120.2300033569336,121.30999755859375,932900,GDDY,Information Technology
2024-04-23,123.4000015258789,123.88999938964844,121.77999877929688,122.22000122070312,998400,GDDY,Information Technology
2024-04-24,123.83000183105469,124.69000244140625,122.66000366210938,124.0,993900,GDDY,Information Technology
2024-04-25,124.13999938964844,124.4000015258789,121.80999755859375,122.30000305175781,1299600,GDDY,Information Technology
2024-04-26,125.01000213623047,126.68000030517578,123.73100280761719,125.0,995800,GDDY,Information Technology
2024-04-29,125.01000213623047,126.5,123.97000122070312,125.0,1242100,GDDY,Information Technology
2024-04-30,122.37999725341797,125.05999755859375,122.37000274658203,124.62000274658203,1294400,GDDY,Information Technology
2024-05-01,122.29000091552734,125.38999938964844,121.91999816894531,122.55999755859375,1733300,GDDY,Information Technology
2024-05-02,124.33000183105469,124.41000366210938,120.58999633789062,123.16000366210938,2028400,GDDY,Information Technology
2024-05-03,123.63999938964844,127.98999786376953,122.04000091552734,126.1500015258789,2261300,GDDY,Information Technology
2024-05-06,128.33999633789062,128.60000610351562,124.83000183105469,124.9800033569336,1654000,GDDY,Information Technology
