Date,Close,High,Low,Open,Volume,Ticker,Industry
2024-02-27,142.337158203125,144.1325844443539,139.584181446568,139.9332823807016,1117400,JBL,Information Technology
2024-02-28,141.7287139892578,143.15508594213708,140.41207817582242,140.51181478078433,808400,JBL,Information Technology
2024-02-29,143.72364807128906,144.20243863151364,142.18757021221774,143.095260193484,1457600,JBL,Information Technology
2024-03-01,146.80575561523438,147.7633213037681,143.9430580832479,144.51161604018768,1361100,JBL,Information Technology
2024-03-04,148.2421112060547,149.0999251631638,146.19733574945002,147.13493290350678,997500,JBL,Information Technology
2024-03-05,150.71580505371094,154.59591336600087,147.2745651713537,147.7234331351329,1700600,JBL,Information Technology
2024-03-06,152.8004913330078,155.57342150215644,151.5037937556383,151.61351467110782,1370400,JBL,Information Technology
2024-03-07,154.13710021972656,154.29669706627348,152.12223188705235,153.35908461780153,1060000,JBL,Information Technology
2024-03-08,150.85545349121094,156.54095728183637,150.6160582505563,154.80537603207023,961400,JBL,Information Technology
2024-03-11,147.4840545654297,149.8480237777943,145.98786843709922,149.50889190817088,1334600,JBL,Information Technology
2024-03-12,149.2196502685547,149.45903033125686,145.42930866916743,147.34442527075393,1511200,JBL,Information Technology
2024-03-13,148.4116973876953,149.30941828577835,146.09760386062413,148.4615733075878,1342400,JBL,Information Technology
2024-03-14,147.0850830078125,149.40914548431684,145.56894341464834,148.072556147445,1749400,JBL,Information Technology
2024-03-15,122.83688354492188,134.30763633495496,120.6923485568302,128.40269019890417,8496000,JBL,Information Technology
2024-03-18,123.8642578125,126.17835863081551,122.51769187085016,123.80441280486984,2724500,JBL,Information Technology
2024-03-19,125.43026733398438,126.68706578160887,122.61743778644119,122.72715870861452,1936000,JBL,Information Technology
2024-03-20,126.57734680175781,127.4052382781348,124.93154055389884,125.35047083953681,1569800,JBL,Information Technology
2024-03-21,128.8814697265625,130.60706666488366,127.19575677508936,127.83413647452112,1593100,JBL,Information Technology
2024-03-22,130.8564453125,132.51222833244762,128.7119026628109,128.7119026628109,1082200,JBL,Information Technology
2024-03-25,131.0060577392578,132.03343769444518,130.50732901460404,130.86641430515448,1009400,JBL,Information Technology
2024-03-26,133.27029418945312,135.56444943190624,131.87385980882596,131.87385980882596,1348700,JBL,Information Technology
2024-03-27,135.59437561035156,135.86369339819143,132.10327434425596,133.21045278316032,1023600,JBL,Information Technology
2024-03-28,133.6094207763672,136.28261462460867,133.33013391132604,135.364955608046,1011200,JBL,Information Technology
2024-04-01,135.2651824951172,135.6641593195503,133.06079520715002,133.27026793297105,903100,JBL,Information Technology
2024-04-02,133.8488006591797,134.67669206398165,131.01602551358636,133.92859907144876,1184900,JBL,Information Technology
2024-04-03,137.83863830566406,137.98825082524075,133.2603125667157,133.51964600731256,1048500,JBL,Information Technology
2024-04-04,135.53451538085938,140.51181802928446,135.36494945051143,139.64403496809445,1089800,JBL,Information Technology
2024-04-05,140.1128387451172,140.272435577985,135.9534433159474,136.58183111287784,1147700,JBL,Information Technology
2024-04-08,138.22764587402344,141.0903436910029,138.11792495316402,139.86347537229625,1026600,JBL,Information Technology
