Date,Close,High,Low,Open,Volume,Ticker,Industry
2024-02-27,325.40521240234375,325.5042221019945,322.9697309012313,325.01911385127977,352300,MSI,Information Technology
2024-02-28,327.94964599609375,328.8010630273594,324.80133664577636,325.54386414614487,370100,MSI,Information Technology
2024-02-29,327.0981750488281,331.34540989712366,324.8606828815328,329.3158471493936,1064400,MSI,Information Technology
2024-03-01,332.2166748046875,332.53349376385603,326.7417736856672,327.58331082754404,463300,MSI,Information Technology
2024-03-04,332.4245910644531,332.45429095505233,329.5237909663575,331.71176347655216,507500,MSI,Information Technology
2024-03-05,328.50408935546875,332.33552671762146,326.3755164002199,331.9791279925485,574500,MSI,Information Technology
2024-03-06,334.16705322265625,336.246136130544,330.6722252244832,331.62265190306755,772000,MSI,Information Technology
2024-03-07,330.8702392578125,334.92936509120705,330.66230982093646,334.87987534729496,529200,MSI,Information Technology
2024-03-08,332.0682067871094,334.0185802571455,329.048576782062,330.5435418386417,622400,MSI,Information Technology
2024-03-11,334.662109375,334.7512090536772,326.4151168376306,328.6723993380223,491900,MSI,Information Technology
2024-03-12,337.0282897949219,337.4044783426849,332.721624323338,335.23629566140863,645000,MSI,Information Technology
2024-03-13,340.2557678222656,341.41412392590905,336.02832246204014,337.6024770136958,875800,MSI,Information Technology
2024-03-14,340.245849609375,342.1720154566947,338.24026767450107,342.08266099572654,799600,MSI,Information Technology
2024-03-15,341.73516845703125,342.2117559061452,336.6219053776733,337.5154803323315,1231100,MSI,Information Technology
2024-03-18,337.60479736328125,344.6045024151984,337.39630363362744,342.54928933734817,749600,MSI,Information Technology
2024-03-19,343.3336486816406,344.65417972960114,338.577834074101,339.0841760121137,756900,MSI,Information Technology
2024-03-20,343.56201171875,344.73358834197614,341.97341732628314,344.0286607534137,686400,MSI,Information Technology
2024-03-21,346.6796569824219,347.24556859056463,342.7876019426649,344.06840986619653,457100,MSI,Information Technology
2024-03-22,346.073974609375,348.8242073219644,346.00446659608076,347.50370656896655,374400,MSI,Information Technology
2024-03-25,345.4385681152344,346.63992963380844,344.48539323941645,344.9024110350768,411100,MSI,Information Technology
2024-03-26,345.1307373046875,347.602998557932,344.5449489795986,345.22012206437364,451800,MSI,Information Technology
2024-03-27,350.8894348144531,351.008574109929,346.45131425844295,348.00018569947395,537500,MSI,Information Technology
2024-03-28,352.4482116699219,352.85529109134353,349.39016197238544,351.4255590794937,705400,MSI,Information Technology
2024-04-01,351.0680847167969,351.90208994479144,348.9234868591319,351.28651682174194,492200,MSI,Information Technology
2024-04-02,349.5589294433594,351.6737424380926,347.5235325306251,350.15465610806007,529400,MSI,Information Technology
2024-04-03,347.8512268066406,351.6142041121675,347.622856313193,349.2710204356667,719900,MSI,Information Technology
2024-04-04,345.448486328125,352.7857939129422,345.2697773961338,350.74048866925494,706400,MSI,Information Technology
2024-04-05,349.7873229980469,350.1249247228353,345.6669275799166,346.4513016464755,422000,MSI,Information Technology
2024-04-08,349.51922607421875,351.61419274224045,347.6725066388246,349.4795028810081,393700,MSI,Information Technology
2024-04-09,350.4425964355469,350.64118210771295,345.5973969139217,349.94616255505116,404300,MSI,Information Technology
2024-04-10,344.971923828125,347.59307902312213,343.562038242237,347.59307902312213,570000,MSI,Information Technology
2024-04-11,346.2527160644531,349.11218025232137,346.13357677327883,346.26265443869147,411300,MSI,Information Technology
2024-04-12,341.35784912109375,345.0711647058814,341.010339358365,343.303861372489,413800,MSI,Information Technology
2024-04-15,336.1651306152344,345.1506014288966,335.96657525631827,345.1506014288966,778000,MSI,Information Technology
2024-04-16,337.6842346191406,339.1536897915006,335.80773033476373,337.5154640702398,530300,MSI,Information Technology
2024-04-17,338.0813903808594,340.7224221000829,336.79064419030607,339.7593392186364,540400,MSI,Information Technology
2024-04-18,337.03887939453125,340.1465603135126,334.9141581562631,339.34233985651406,493700,MSI,Information Technology
2024-04-19,337.2275085449219,338.6373940121395,334.7552776656969,338.6373940121395,1393000,MSI,Information Technology
2024-04-22,342.76776123046875,345.3789780904671,337.33677315677375,338.9849373394587,1026900,MSI,Information Technology
2024-04-23,343.08544921875,347.59307742339837,342.4599679693563,343.50246701826586,721300,MSI,Information Technology
2024-04-24,342.6485900878906,344.42583192439656,341.40750534450495,342.06280172500306,616800,MSI,Information Technology
2024-04-25,346.53070068359375,347.1859970525233,340.56358594668404,342.7379688027031,926200,MSI,Information Technology
2024-04-26,344.00885009765625,346.7888678487659,343.7606331448814,346.0342786163557,595500,MSI,Information Technology
2024-04-29,345.2101745605469,346.5902449136805,343.27407041703503,344.53503179354743,398100,MSI,Information Technology
2024-04-30,336.7311096191406,344.5946359576771,336.125474802748,344.2272797182362,1220800,MSI,Information Technology
2024-05-01,333.60357666015625,337.6445558279908,333.2759436221871,335.6290354309992,1099600,MSI,Information Technology
2024-05-02,333.84185791015625,334.60638550474846,330.6051295003145,334.4077998256522,1377400,MSI,Information Technology
2024-05-03,351.1773376464844,353.62972221740256,344.9222525996483,349.61852799656583,1151500,MSI,Information Technology
2024-05-06,347.1463317871094,352.72624429098795,342.80747380356337,352.72624429098795,1129300,MSI,Information Technology
2024-05-07,355.615478515625,355.6452633380685,348.8441127475316,351.14757334956846,801100,MSI,Information Technology
2024-05-08,356.4593811035156,359.1004130464264,355.6849454435583,357.2437551372929,765000,MSI,Information Technology
2024-05-09,357.5415954589844,358.0082445194202,355.5260751128295,355.91330808421907,526200,MSI,Information Technology
2024-05-10,360.2620849609375,361.46344650719305,357.87920831632664,358.59407433970193,611200,MSI,Information Technology
2024-05-13,355.4466552734375,361.87051084191233,353.7587679747971,360.619487778216,1064500,MSI,Information Technology
2024-05-14,358.4748840332031,360.40104986541473,356.2806548201896,357.0948136358499,975400,MSI,Information Technology
2024-05-15,362.426513671875,364.2236018758841,358.38553465626416,358.38553465626416,543900,MSI,Information Technology
2024-05-16,363.79669189453125,365.18670074560845,362.4662526870774,363.45912048069255,453300,MSI,Information Technology
2024-05-17,365.1767578125,366.9539996248602,363.5981016763517,366.9539996248602,423900,MSI,Information Technology
2024-05-20,365.8022766113281,365.8320614333581,364.0746963337475,364.31297490998736,291000,MSI,Information Technology
2024-05-21,367.1029052734375,367.97663372496504,365.26612421047463,366.11003754214147,607200,MSI,Information Technology
